name,latitude,longitude,RADD,Stop,PWR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Double-check,UK,Swiss,Source
Mochovce,48.263889,18.456944,1,,1,66.64,117.88,18.9,16.7,17.4,26.3,29.9,29.5,453,25.3,24.2,29,19.3,253,116.76,123.76,126.28,151.76,148.12,ok,,,RADD
Mühleberg,46.97083333,7.270277778,0,,0,370,370,340,340,390,300,320,370,340,330,380,360,350,400,28,4.6,1.5,3.4,1.9,ok,,1,ENSI
Mülheim-Kärlich,50.408056,7.49,1,1988,0,4.8,2.3,0.7,0.63,0,0.13,0.33,0.38,0.5,0.28,0.91,0.22,0.12,0.00021,0,0.018,0.0077,3,#N/A,ok,,,RADD
Neckarwestheim 1-2,49.041667,9.175,1,,0,222.4,139,116,235,215,124,263,122,150.5,150.4,210.22,180.2,150.12,200.04,150.004,160,110,290,#N/A,ok,,,RADD
Nogent,48.515278,3.517778,1,,1,128.8,53.76,107.8,96.6,122.64,122.64,108.64,124.32,111.16,105.28,136.64,89.04,90.16,78.96,69.72,73.64,70.28,129.64,#N/A,ok,,,RADD
Obrigheim,49.364444,9.076389,1,2005,0,3.2,7.6,1.2,1.8,1.2,0.65,0.59,0.92,1.8,1.7,1.8,0.44,0.13,0.048,0.22,0.21,0.024,0.22,#N/A,ok,,,RADD
Oldbury,51.6489,-2.5708,1,,0,887,325,930,1440,1750,1320,263,14.1,8.64,1.9,0.72,4.79,3.35,2.18,2.83,2.29,2.29,#N/A,#N/A,,1,,
Olkiluoto,61.236944,21.440833,1,,1,770,1080,876,779,711,812,878,795,839,1070,1230,1020,931,644,650,543,626.348,624.788,#N/A,ok,,,RADD
Oskarshamn,57.415556,16.671111,1,,0,580,628,771,502,654,735,503,498,875,858,904,736,662,686,479,668,694,632,#N/A,ok,,,RADD
Paks,46.5725,18.854167,1,,1,47.6,34,21.3,32.1,24,14.6,23,23.5,25.1,22.5,23,176.96,23.8,23.3,24.4,30.75797012,34.1,38.7,38.2,ok,,,RADD
Paluel,49.858056,0.635556,1,,1,229.88,187.32,247.8,196.56,219.8,253.4,226.52,231.84,254.24,203,129.92,169.4,161,225.68,225.68,261.8,278.32,319.2,#N/A,ok,,,RADD
Penly,49.976667,1.211944,1,,1,129.36,119.56,134.4,118.72,110.6,118.44,117.04,127.96,103.32,128.8,120.68,135.24,176.12,135.8,145.32,216.16,206.36,34.44,#N/A,ok,,,RADD
Philippsburg 1-2,49.2525,8.436389,1,2019,1,120,536,455,429,434,158,56,103,88,42.8,59.7,1.93,49,53,108,27.8,17.9,3.7,#N/A,ok,,,RADD
Ringhals 1-2,57.259722,12.110833,1,,1,752.32,691.4,514.72,274.6,413.48,585.16,483.36,617.6,543.04,565.92,590.88,438.8,619.56,620.2,433.84,111.1,126.41,86.27,#N/A,ok,,,RADD
Rovno 1-4 (Rivne),51.327778,25.891667,0,,0,111.35715,115.37565,120.77543,85.823452,119.41954,123.852976,126.900757,114.028734,129.31029,134.408285,123.807715,140.6436164,125.004274,136.369589,121.1814685,129.8273315,129.8273315,#N/A,#N/A,,,,
Sellafield,54.4205,-3.4975,1,,0,710,360,686,379,273,396,378,518,340,420,442,416,427,247,125,68.9,86.3,60,#N/A,ok,1,,10.5281/zenodo.15034663
Sizewell A+B,52.215,1.61972,1,,1,1537.32,192.6,139.64,96.26,46.68,88.76,97.62,69.29,73.93,71.18,65.51,63.48,61.082,73.152,20.7004,19.9304,18.3428,17.7744,#N/A,ok,1,,10.5281/zenodo.15034663
Smolensk 1,54.169161,33.246636,0,,0,803.904566,974.948059,1156.781849,908.559018,726.613927,807.97968,935.934703,1153.864269,1087.932306,1046.379795,1001.12911,3111.086986,2617.147831,2745.494635,3026.86153,3153.679795,2923.664384,#N/A,#N/A,,,,
South Ukraine 1-3,47.816667,31.216667,0,,0,128.464,128.321008,138.694357,119.18411,129.306992,126.104405,127.231079,96.947353,141.795683,114.685085,125.555605,128.9811178,132.4958466,129.4113973,139.2802082,135.9462904,135.9462904,#N/A,#N/A,,,,
