Country,Reactor,Reactor Type,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Spain,Almaraz 1-2 (CO2),PWR,,,,,,,,,,,,,,,,171,63.3,57.6,47.8,85.9,56
Spain,Asco 1-2 (TOT 14C),PWR,,,,,,,,,,,,,1670,1660,506,456,767,689,352,369,225
Spain,Asco 1-2 (CO2),PWR,,,,,,,,,,,,,,121,104.5,,90.8,119,74.6,74.6,117
Spain,Cofrentes  (TOT 14C),BWR,,,,,,,,,,,,,595,309,289,396,421,229,523,473,200
Spain,Cofrentes (CO2),BWR,,,,,,,,,,,,,595,309,289,396,421,229,,,
Spain,José Cabrera 1,PWR,,,,,,,,,,,,,,,,,,,,,
Spain,Sta Maria de Garona (TOT 14C),BWR,,,,,,,,,,,,,199,243,231,201,220,205,4.64,,
Spain,Sta Maria de Garona (CO2),BWR,,,,,,,,,,,,,,,,,215,200,1.09,,
Spain,Trillo 1 (TOT 14C),PWR,99.3,146,75.9,85.5,96.3,13.4,56.9,43.4,48.2,31.8,,67,44.5,30.3,36.9,36,31.9,28.1,67.5,102,151
Spain,Trillo 1 (CO2),PWR,,,,,,,,,,,,,,,,,,28.1,28.3,21.7,18
Spain,Vandellos 1 ,GCR,,,,,0.000364,0.00000553,0.0000213,,,,0.000000968,8.19E-08,,,0.000000229,1.21E-08,1.97E-08,6.09E-08,0.000000125,3.83E-08,0.000000145
Spain,Vandellos 2 (TOT 14C),PWR,,,,,,,,,,,,,1200,149,53.6,49.9,59.1,463,203,197,132
Spain,Vandellos 2 (CO2),PWR,,,,,,,,,,,,,,,,,,,59.7,96.7,85.4
Sweden,Barsebäck  unit 1,BWR,,,,,,,,440,159,,,,,,,,,,,,
Sweden,Barsebäck  2 ,BWR,,,,,,,,,,410,184,,,,,,,,,,
Sweden,Forsmark 1-3,BWR,,,,,,,,2650,2250,2220,2740,2220,2490,2080,1960,1960,2110,1770,1730,1910,1640
Sweden,Oskarshamn 1-3,BWR,,,,,,,,912,680,824,669,580,628,771,502,654,735,503,498,,
