Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source,Table_S1_Zazzeri,Table_S2_Zazzeri,RX_RADD_ENSI_RIFE,RX_Group,EF_Zazzeri [TBq GWa^-1],H_yr,Emissions [TBq yr^-1],Comment,Emissions [GBq yr^-1],Origin,Latitude,Longitude
ARGENTINA,ATUCHA-1,PHWR,Operational,2023,3739.05,9813.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.6834766563155982,,683.4766563155981,EF Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2024,6167.49,13120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,1.1243570335412871,,1124.357033541287,EF Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-2,PHWR,Operational,2014,1093.35,3071.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5,Atucha 2,,,Atucha 1-2,1.601461187278584,8760,0.199881003323178,,199.69863,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-2,PHWR,Operational,2015,3925.92,6928.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5,Atucha 2,,,Atucha 1-2,1.601461187278584,8760,0.7177178657946048,,717.0630140000001,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-2,PHWR,Operational,2016,5200.54,8063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5,Atucha 2,,,Atucha 1-2,1.601461187278584,8784,0.9481401369410026,,949.87032,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,EMBALSE,PHWR,Operational,1983,815.4,2098.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.1490304235847661,,148.93150699999998,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1984,2527.07,6355.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8784,0.4606099124398016,,461.565297,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1985,3778.57,8170.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.6906081526179665,,690.1497720000001,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1986,3061.67,5847.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.5595805457159322,,559.209132,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1987,4577.05,7951.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.8365461126669782,,835.990868,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1988,4560.58,7798.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8784,0.8312584750223422,,832.982648,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1989,4658.98,7804.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.8515204352133356,,850.955251,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1990,5000.74,8404.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.9139838121624768,,913.377169,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1991,4498.81,7855.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.8222462103598013,,821.700457,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1992,4353.98,7440.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8784,0.7936014224238533,,795.247489,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1993,4773.27,7956.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.87240918565668,,871.830137,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1994,5157.89,8575.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.942706072484216,,942.080365,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1995,3897.91,6541.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.7124198901095118,,711.947032,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1996,4891.97,8176.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8784,0.8916610435635484,,893.5105020000001,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1997,4737.03,7821.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.8657856112751348,,865.210959,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1998,4555.43,7629.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.832594631482403,,832.042009,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,1999,5201.79,8700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.9507296628636264,,950.09863,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2000,4064.48,6837.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8784,0.7408341584971231,,742.370776,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2001,5128.11,8564.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.9372631904455178,,936.641096,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2002,4385.52,7401.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.8015402296289721,,801.0082189999999,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2003,5004.14,8367.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.914605229185028,,913.998174,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2004,4589.57,7704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8784,0.8365424922286838,,838.277626,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2005,4372.48,7341.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.7991569125777758,,798.626484,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2006,5052.1,8455.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.9233708645972496,,922.757991,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2007,4003.72,6771.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.7317587533907285,,731.273059,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2008,4368.61,7382.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8784,0.7962680375231558,,797.919635,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2009,5192.43,8705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.9490189383544856,,948.389041,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2010,3908.69,6701.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.714390147610424,,713.915982,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2011,3559.35,7405.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.6505413762404187,,650.109589,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2012,3425.53,7214.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8784,0.6243725236577988,,625.66758,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2013,3285.69,6841.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.6005246167135521,,600.1260269999999,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2014,1533.11,3678.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.2802060739539377,,280.02009100000004,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2015,641.36,1564.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.117221182818648,,117.143379,Table S1 Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2019,3786.17,7051.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8760,0.6919972024330808,,691.9972024330808,EF Zazzeri et al. 2018,-32.232,-64.443
ARGENTINA,EMBALSE,PHWR,Operational,2020,4910.14,8447.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse,1.601062681631778,8784,0.8949728956725249,,894.9728956725249,EF Zazzeri et al. 2018,-32.232,-64.443
