name,latitude,longitude,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dodewaard,51.89944,5.68611,0.116,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cernavoda,44.322222,28.057222,945.746119,280.0,543.0,633.0,578.0,308.0,471.0,410.0,399.0,475.0,332.0,386.0,378.0,425.0,353.0,389.0,349.0
Leningrad 1-4,59.847222,29.043611,3147.245091,3351.373288,3770.322032,3603.726141,3755.380936,3845.123972,3337.056964,2629.126826,3469.125685,3767.91347,3881.145548,3659.04589,3578.659589,2842.328311,2576.62226,2420.171119,2045.53516
SMOLENSK 1,54.169161,33.246636,803.904566,974.948059,1156.781849,908.559018,726.613927,807.97968,935.934703,1153.864269,1087.932306,1046.379795,1001.12911,3111.086986,2617.147831,2745.494635,3026.86153,3153.679795,2923.664384
Kalinin 1-4,58.8529722,31.1117206,154.235507,165.445479,168.690948,161.444011,163.641589,171.122422,205.165129,218.229238,205.369567,242.960526,197.002324,237.9280438,256.4843726,225.6164055,207.5709808,250.4899945,237.7954082
Kola 1-4,67.466667,32.466667,75.534795,73.385238,76.180483,70.425293,76.214543,75.284943,70.772264,73.878652,73.896757,66.468317,70.275014,72.44604932,73.25344658,72.22281644,67.0662137,66.41400548,74.27517808
Mochovce,48.263889,18.456944,66.64,117.88,18.9,16.7,17.4,26.3,29.9,29.5,453.0,25.3,24.2,29.0,19.3,253.0,116.76,123.76,126.28
Bohunice A+B,48.494444,17.681944,63.7,62.1,47.4,403.0,116.48,35.2,38.2,24.61,15.7,14.0,15.9,17.0,21.9,14.2,148.68,139.44,127.21
Krsko,45.938333,15.515556,40.04,35.0,7.14,36.12,36.96,6.02,38.92,37.24,6.468,22.008,33.04,21.476,36.96,20.916,5.544,28.84,24.332
Asco,41.2,0.569444,118.038181,467.6,121.0,104.5,127.68,90.8,119.0,74.6,74.6,117.0,163.0,156.0,121.0,219.0,114.8,114.18,114.8
Cofrentes,39.216667,-1.05,0.0,595.0,309.0,289.0,396.0,421.0,229.0,523.0,473.0,200.0,339.0,301.0,260.0,103.0,107.0,113.0,222.0
Vandellos 1-2,40.951389,0.866667,8.19e-08,336.0,41.72,15.00800023,13.97200001,16.54800002,129.6400001,59.70000013,96.70000004,85.40000015,31.7,96.9,154.0,90.7,114.0,157.0,50.3
Trillo,40.701111,-2.621944,18.76,12.46,8.484,10.332,10.08,31.9,28.1,28.3,21.7,18.0,13.1,35.5,75.04,49.7,19.6,19.2,45.4
Almaraz,39.808056,-5.696944,110.485162,8.372,39.76,70.84,75.88,63.3,57.6,47.8,85.9,56.0,52.9,91.2,70.5,35.8,63.28,99.12,61.6
José Cabrera 1,40.349167,-2.884444,3.00381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sta Maria de Garona,42.7753,-3.207292,213.480411,199.0,243.0,231.0,201.0,215.0,200.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forsmark,60.403333,18.166667,2220.0,2490.0,2080.0,1960.0,1960.0,2110.0,1770.0,1730.0,1910.0,1640.0,1620.0,1675.0,1730.0,1930.0,1830.0,1920.0,1900.0
Oskarshamn,57.415556,16.671111,580.0,628.0,771.0,502.0,654.0,735.0,503.0,498.0,875.0,858.0,904.0,736.0,662.0,686.0,479.0,668.0,694.0
Ringhals 1-2,57.259722,12.110833,752.32,691.4,514.72,274.6,413.48,585.16,483.36,617.6,543.04,565.92,590.88,438.8,619.56,620.2,433.84,111.1,126.41
Leibstadt,47.60305556,8.184722222,410.0,540.0,590.0,540.0,560.0,570.0,640.0,770.0,630.0,420.0,360.0,280.0,480.0,410.0,580.0,220.0,220.0
Mühleberg,46.97083333,7.270277778,370.0,370.0,340.0,340.0,390.0,300.0,320.0,370.0,340.0,330.0,380.0,360.0,350.0,400.0,28.0,4.6,4.6
Gösgen,47.36583333,7.966666667,62.130083,62.588898,61.093776,61.925414,61.593019,60.68183,61.936997,49.174136,61.535408,61.148931,63.159178,62.51071869,62.64648323,59.35823682,63.24098015,66.0,66.0
Beznau 1-2,47.55222222,8.227777778,57.0,35.0,26.0,130.0,74.0,42.0,32.0,20.0,36.0,24.0,18.0,18.0,13.0,36.0,26.0,10.0,10.0
Heysham 1-2,54.028889,-2.916111,2990.0,3000.0,1733.0,2700.0,2480.0,3230.0,3120.0,3220.0,2403.0,2730.0,3760.0,3390.0,3490.0,4180.0,4000.0,2850.0,2850.0
Hartlepool,54.635,-1.180833,1470.0,1660.0,15.2,1170.0,1930.0,2210.0,2170.0,2250.0,1760.0,1810.0,1660.0,2600.0,2230.0,3010.0,1700.0,1890.0,1890.0
Hinkley Point A+B,51.208739,-3.133743,1320.687,472.712,1110.731,908.725,1210.71,1170.67,1160.6,1210.51,1660.48,1480.457,1380.38,1700.45,1530.54,1950.604,1050.57,1210.52,1210.52
Torness,55.96799,-2.40908,688.0,880.0,841.0,1070.0,826.0,993.0,1040.0,974.0,938.0,1280.0,1320.0,1130.0,1330.0,1360.0,1450.0,1480.0,1480.0
Hunterston A+B,55.722222,-4.89,1680.184,540.181,1310.128,1320.117,1310.094,1300.08,1390.08,1220.083,1080.08,1530.0577,1470.0564,1970.0604,844.0655,382.062,356.0592,1960.056,1960.056
Dungeness A+B,50.913889,0.963889,2531.0,1040.0,731.11,664.1,503.222,508.282,528.634,557.452,808.474,856.353,1010.284,1270.954,1062.33,280.862,37.818,11.892,11.892
Sellafield,54.4205,-3.4975,710.0,360.0,686.0,379.0,273.0,396.0,378.0,518.0,340.0,420.0,442.0,416.0,427.0,247.0,125.0,68.9,68.9
Sizewell A+B,52.215,1.61972,1537.32,192.6,139.64,96.26,46.68,88.76,97.62,69.29,73.93,71.18,65.51,63.48,61.082,73.152,390.805,349.646,349.646
Oldbury,51.6489,-2.5708,887.0,325.0,930.0,1440.0,1750.0,1320.0,263.0,14.1,8.64,1.9,0.72,4.79,3.35,2.18,2.83,2.29,2.29
Wylfa,53.417,-4.483,1280.0,1000.0,1490.0,1420.0,1330.0,1260.0,965.0,871.0,342.0,954.0,104.0,1.51,1.08,0.69,0.63,0.88,0.88
Berkeley,51.6925,-2.4936,0.166,0.25,0.282,0.224,0.245,0.472,0.524,0.503,0.519,0.916,1.82,1.92,0.514,0.613,0.427,0.47,0.47
Bradwell,51.741389,0.896944,0.563,1.11,1.16,0.624,0.299,0.384,0.42,0.42,0.619,13.7,30.3,21.3,0.555,0.42,0.42,0.42,0.42
Winfrith,50.682,-2.261,0.864,1.38,0.934,0.315,0.134,0.126,0.143,0.187,0.239,0.129,0.193,0.146,0.119,0.204,0.221,0.18,0.18
Trawsfynydd,52.924864,-3.948439,2.96,2.74,2.13,2.27,3.76,1.82,0.56,0.7,0.97,0.7,1.0,1.15,1.09,1.15,1.22,1.16,1.16
Rovno 1-4 (Rivne),51.327778,25.891667,111.35715,115.37565,120.77543,85.823452,119.41954,123.852976,126.900757,114.028734,129.31029,134.408285,123.807715,140.6436164,125.004274,136.369589,121.1814685,129.8273315,129.8273315
South Ukraine 1-3,47.816667,31.216667,128.464,128.321008,138.694357,119.18411,129.306992,126.104405,127.231079,96.947353,141.795683,114.685085,125.555605,128.9811178,132.4958466,129.4113973,139.2802082,135.9462904,135.9462904
Khmelnitski 1-2,50.301406,26.64975,106.347836,108.307836,88.157962,93.75566,95.590236,105.962279,99.764153,106.66343,79.205633,98.162324,109.49097,97.54248767,92.01083836,55.38307945,80.2361863,94.8789589,94.8789589
